Genome,X,Y,Cluster
001SaciDSM13117T,-0.3592421935381613,0.2072835751487004,2
005SaciAPG1,-0.39477939606290124,0.28133403027119985,2
003SaciSPDF1,-0.3676155016294763,0.2919692654648944,2
007SbenVV6,0.2724436752765991,0.09724781229225364,1
013SgenN1,-0.08524654932524568,-0.08885281945536525,3
009ScheBIGb0227,0.17108963133662922,0.06698963940598039,1
015SgenSCPM-O-B-9794,-0.07620497730566828,-0.09549078700868403,3
011SdaeJCM16244T,-0.40517115664438774,0.25913183756007063,2
019SindLMG29892T,0.11779701765547174,-0.015179668847096756,4
017SgoyBIO128,0.26826327211857376,0.08408070847375819,1
023SindRS7,0.05950813082300516,-0.07427561808371995,4
025SkorDSM17805T,0.2352478777968643,-0.12599275475996452,4
027SlacM15T,0.15232821245448802,-0.06939049526434897,4
029SlacTUM20371,0.14739060038227886,-0.09644144790308927,4
041SmalSTEN00241,-0.07086668796654688,-0.06948260606667456,3
033SlacBi35,0.15118702185750132,-0.06043913318581561,4
039SmalLH_B2,-0.07661506066019862,0.036784715287027744,3
035SmalNCTC10257T,-0.0941900357416082,-0.085564156659452,3
037SmalCF13,-0.10112586669232335,-0.0670884227847127,3
031SlacBi66,0.16761621603461613,-0.062040494880250124,4
021SindMGMM10,0.10928852871512157,-0.007278982987068593,4
049SmalNCTC10259,-0.12973567355187593,-0.05913354200537454,3
047SmalACYCb_6H,-0.08295280814278004,0.0010414573741105685,3
051SmalPEG_305,-0.1567438862482939,-0.021032500674068758,3
045SmalSJTL3,-0.11303695341505138,-0.08564783593588977,3
043SmalSJTH1,-0.06953336038908096,-0.08755798477515528,3
012SgenJCM13324T,-0.07906089276714404,-0.09382553040776523,3
002SaciT0-18T,-0.3542789295913606,0.28326230486420867,2
006SbenDSM103927T,0.16572504916482422,0.16533083809093202,1
055SmalCSM2,-0.07448500496316394,-0.05597605676632512,3
053SmalPEG_42,-0.060493084193453575,-0.12299824487906742,3
004SaciSUNEO,-0.360831745042983,0.2957344147146921,2
026SkorW1S232,0.20335855190764277,-0.09071318057222015,4
010ScycLMG31208T,0.04365530807890303,-0.08632977002577796,3
008ScheDSM21508T,0.1563184239684109,0.06756893324654399,1
061SmalAA1,0.034045694535810855,-0.06994854259040317,3
057SmalKMM_349,0.008300955003451673,-0.10388581910037396,3
065SmalISMMS2R,-0.07435005592110044,-0.09535119543606488,3
059SmalU5,0.12042065440805555,-0.011989985226277703,4
063SmalOUC_Est10,-0.06070246114597439,-0.0785995175896727,3
071SmalDHHJ,-0.06747706475788758,-0.07166159500693081,3
067SmalACYCd9D,-0.09266460452691437,-0.05593492231599855,3
069SmalSoD9b,-0.07562909512838145,-0.013728519911728403,3
014SgenSMYL98,-0.0913599576957552,-0.10146116595246107,3
016SginDSM24757T,0.30301191539878874,-0.22381453634948906,4
020SindDAIF1,0.12241732307664019,-0.01928040980621533,4
024SindCPHE1,0.07474430985570582,-0.06778770655591145,4
018ShumDSM18929T,0.29608069274555315,0.026743617448407475,4
073SmalPEG_173,-0.06660301173949303,-0.06557248190558511,3
080SnitDSM12575T,-0.28219722228383376,0.24004489799252826,2
082SpanJCM16536T,-0.3371984683096992,0.24748150725062698,2
075SmorCPCC101365T,-0.40150906285094035,0.37063922054524423,2
088SpicJCM9942T,0.26752225874890434,-2.7613969880513922e-05,4
086SpavPI-27,-0.15706102952464404,-0.027877441645430587,3
084SpavDSM25135T,-0.16884391426873588,-0.023580039436509905,3
077SmurCCV155,-0.04428630891975388,-0.06494165287987796,3
028SlacYR347,0.13535135766883138,-0.0955451708790972,4
040SmalGYH,-0.07086668796654698,-0.0694826060666745,3
094SrhiCFBP9006,0.28971305260254354,0.2001603896981576,1
098SrhiDE0483,0.12311409986656212,0.1626235544177461,1
096SrhiUSBAGBX843,0.3469387271763068,0.08968505411806572,1
090SrhiDSM14405T,0.2838764610826918,0.17826465754598092,1
092SrhiBl2-2,0.12883773637074564,0.14573081992763884,1
034SlauK32T,0.15776990618541634,0.08702324524231148,1
032SlacRIT_As_2,0.070122430012922,-0.08877454463446365,4
038SmalSGY2,-0.08662305495336627,0.024816033367259967,3
030SlacAs7,0.13662005038025196,-0.04283360668662937,4
054SmalNCTC13014,-0.06879537433346088,-0.1084866118688521,3
056SmalJV3,-0.0996261405892695,-0.06655058810622366,3
042SmalWGB211,-0.07902622583814219,-0.09024778954593624,3
110UCE_D3_125,-0.08435248187348571,-0.08307235372767596,3
104SsepZH16.fasta,-0.06673945857183922,-0.0429016731283367,3
108StumJCM30961T,0.1419292505235033,0.11044499072461937,1
102SrhiBIGb0277,0.40619823785970544,0.09905771624221066,1
106SsepSMYL57,-0.1073697573816627,-0.04599499235759943,3
100SrhiRIT_551,0.26811298778194337,0.10338272467537298,1
036SmalNCTC10258,-0.05609965645253252,-0.09206546138232373,3
022SindK279a,0.10576008296605542,-0.07236571229156583,4
070SmalPEG_141,-0.059683690652664274,-0.05896190096693364,3
052SmalMER1,0.18276324886313694,-0.048361133349261454,4
048SmalPEG_68,-0.13953656755797003,-0.06082145695884693,3
066SmalCol1,-0.07725022906025499,-0.09921935011035488,3
060SmalX28,-0.09831911000485234,-0.07691096959572662,3
058SmalR551_3,0.0015367075986238764,-0.0932080841982174,3
064SmalJZL8,-0.07625199624683934,-0.09847251866127583,3
068Smal2013_SM4,-0.0940522837468418,-0.05225395004010691,3
050Smal2013SM12,-0.16284335940033884,-0.03596581629792583,3
114ICU_New_188,-0.0893018294643316,-0.08541099279162331,3
116GM_D3_185,-0.11593239387888822,-0.05508982165132221,3
112GM_D5_87,-0.09163543293164213,-0.06651819803623737,3
044SmalFZD2,-0.10817760470529382,-0.1035936242212863,3
072SmalT50_20,-0.054627915932279614,-0.09706228183032584,3
046SmalZT1,-0.08332899371668967,-0.0072538499918906735,3
062SmalISMMS3,-0.06190655200643879,-0.0645762940695186,3
124UCE_D3_105,-0.06414772060808248,-0.06990479962867427,3
118GM_D4_135,-0.11665182253309188,-0.05567775245797705,3
120ICU_D4_5,-0.08477161612934235,-0.09751652626646737,3
122UCE_D5_25,-0.11151858347209924,-0.08426588878493535,3
076SmurDSM28631T,-0.11251855188641018,-0.06194168962276397,3
089SriyCFS3442T,-0.08195258179680649,-0.09754082639436212,3
083SpanGSS15,-0.3494633222839506,0.20622790442362035,2
081Snit2001,0.3674077716245867,-0.025550028666301874,4
085SpavY,-0.16284335940033884,-0.03596581629792583,3
099SrhiGN_RF2_1,0.2191734560712904,0.19823412212868957,1
126ICU_D3_80,-0.0662626003581215,-0.044294281061235154,3
130GM_D4_145,-0.03868614177390427,-0.05654329411954958,3
132PdokDSM21858T,0.47892786596046943,0.4731836350784388,5
128ICU_D4_12,-0.08333106744521714,-0.047430464657990404,3
